periodo,ipca_mensal
1991-04-01,4.99
1991-05-01,7.43
1991-06-01,11.19
1991-07-01,12.41
1991-08-01,15.63
1991-09-01,15.63
1991-10-01,20.23
1991-11-01,25.21
1991-12-01,23.71
1992-01-01,25.94
1992-02-01,24.32
1992-03-01,21.4
1992-04-01,19.93
1992-05-01,24.86
1992-06-01,20.21
1992-07-01,21.83
1992-08-01,22.14
1992-09-01,24.63
1992-10-01,25.24
1992-11-01,22.49
1992-12-01,25.24
1993-01-01,30.35
1993-02-01,24.98
1993-03-01,27.26
1993-04-01,27.75
1993-05-01,27.69
1993-06-01,30.07
1993-07-01,30.72
1993-08-01,32.96
1993-09-01,35.69
1993-10-01,33.92
1993-11-01,35.56
1993-12-01,36.84
1994-01-01,41.31
1994-02-01,40.27
1994-03-01,42.75
1994-04-01,42.68
1994-05-01,44.03
1994-06-01,47.43
1994-07-01,6.84
1994-08-01,1.86
1994-09-01,1.53
1994-10-01,2.62
1994-11-01,2.81
1994-12-01,1.71
1995-01-01,1.7
1995-02-01,1.02
1995-03-01,1.55
1995-04-01,2.43
1995-05-01,2.67
1995-06-01,2.26
1995-07-01,2.36
1995-08-01,0.99
1995-09-01,0.99
1995-10-01,1.41
1995-11-01,1.47
1995-12-01,1.56
1996-01-01,1.34
1996-02-01,1.03
1996-03-01,0.35
1996-04-01,1.26
1996-05-01,1.22
1996-06-01,1.19
1996-07-01,1.11
1996-08-01,0.44
1996-09-01,0.15
1996-10-01,0.3
1996-11-01,0.32
1996-12-01,0.47
1997-01-01,1.18
1997-02-01,0.5
1997-03-01,0.51
1997-04-01,0.88
1997-05-01,0.41
1997-06-01,0.54
1997-07-01,0.22
1997-08-01,-0.02
1997-09-01,0.06
1997-10-01,0.23
1997-11-01,0.17
1997-12-01,0.43
1998-01-01,0.71
1998-02-01,0.46
1998-03-01,0.34
1998-04-01,0.24
1998-05-01,0.5
1998-06-01,0.02
1998-07-01,-0.12
1998-08-01,-0.51
1998-09-01,-0.22
1998-10-01,0.02
1998-11-01,-0.12
1998-12-01,0.33
1999-01-01,0.7
1999-02-01,1.05
1999-03-01,1.1
1999-04-01,0.56
1999-05-01,0.3
1999-06-01,0.19
1999-07-01,1.09
1999-08-01,0.56
1999-09-01,0.31
1999-10-01,1.19
1999-11-01,0.95
1999-12-01,0.6
2000-01-01,0.62
2000-02-01,0.13
2000-03-01,0.22
2000-04-01,0.42
2000-05-01,0.01
2000-06-01,0.23
2000-07-01,1.61
2000-08-01,1.31
2000-09-01,0.23
2000-10-01,0.14
2000-11-01,0.32
2000-12-01,0.59
2001-01-01,0.57
2001-02-01,0.46
2001-03-01,0.38
2001-04-01,0.58
2001-05-01,0.41
2001-06-01,0.52
2001-07-01,1.33
2001-08-01,0.7
2001-09-01,0.28
2001-10-01,0.83
2001-11-01,0.71
2001-12-01,0.65
2002-01-01,0.52
2002-02-01,0.36
2002-03-01,0.6
2002-04-01,0.8
2002-05-01,0.21
2002-06-01,0.42
2002-07-01,1.19
2002-08-01,0.65
2002-09-01,0.72
2002-10-01,1.31
2002-11-01,3.02
2002-12-01,2.1
2003-01-01,2.25
2003-02-01,1.57
2003-03-01,1.23
2003-04-01,0.97
2003-05-01,0.61
2003-06-01,-0.15
2003-07-01,0.2
2003-08-01,0.34
2003-09-01,0.78
2003-10-01,0.29
2003-11-01,0.34
2003-12-01,0.52
2004-01-01,0.76
2004-02-01,0.61
2004-03-01,0.47
2004-04-01,0.37
2004-05-01,0.51
2004-06-01,0.71
2004-07-01,0.91
2004-08-01,0.69
2004-09-01,0.33
2004-10-01,0.44
2004-11-01,0.69
2004-12-01,0.86
2005-01-01,0.58
2005-02-01,0.59
2005-03-01,0.61
2005-04-01,0.87
2005-05-01,0.49
2005-06-01,-0.02
2005-07-01,0.25
2005-08-01,0.17
2005-09-01,0.35
2005-10-01,0.75
2005-11-01,0.55
2005-12-01,0.36
2006-01-01,0.59
2006-02-01,0.41
2006-03-01,0.43
2006-04-01,0.21
2006-05-01,0.1
2006-06-01,-0.21
2006-07-01,0.19
2006-08-01,0.05
2006-09-01,0.21
2006-10-01,0.33
2006-11-01,0.31
2006-12-01,0.48
2007-01-01,0.44
2007-02-01,0.44
2007-03-01,0.37
2007-04-01,0.25
2007-05-01,0.28
2007-06-01,0.28
2007-07-01,0.24
2007-08-01,0.47
2007-09-01,0.18
2007-10-01,0.3
2007-11-01,0.38
2007-12-01,0.74
2008-01-01,0.54
2008-02-01,0.49
2008-03-01,0.48
2008-04-01,0.55
2008-05-01,0.79
2008-06-01,0.74
2008-07-01,0.53
2008-08-01,0.28
2008-09-01,0.26
2008-10-01,0.45
2008-11-01,0.36
2008-12-01,0.28
2009-01-01,0.48
2009-02-01,0.55
2009-03-01,0.2
2009-04-01,0.48
2009-05-01,0.47
2009-06-01,0.36
2009-07-01,0.24
2009-08-01,0.15
2009-09-01,0.24
2009-10-01,0.28
2009-11-01,0.41
2009-12-01,0.37
2010-01-01,0.75
2010-02-01,0.78
2010-03-01,0.52
2010-04-01,0.57
2010-05-01,0.43
2010-06-01,0.0
2010-07-01,0.01
2010-08-01,0.04
2010-09-01,0.45
2010-10-01,0.75
2010-11-01,0.83
2010-12-01,0.63
2011-01-01,0.83
2011-02-01,0.8
2011-03-01,0.79
2011-04-01,0.77
2011-05-01,0.47
2011-06-01,0.15
2011-07-01,0.16
2011-08-01,0.37
2011-09-01,0.53
2011-10-01,0.43
2011-11-01,0.52
2011-12-01,0.5
2012-01-01,0.56
2012-02-01,0.45
2012-03-01,0.21
2012-04-01,0.64
2012-05-01,0.36
2012-06-01,0.08
2012-07-01,0.43
2012-08-01,0.41
2012-09-01,0.57
2012-10-01,0.59
2012-11-01,0.6
2012-12-01,0.79
2013-01-01,0.86
2013-02-01,0.6
2013-03-01,0.47
2013-04-01,0.55
2013-05-01,0.37
2013-06-01,0.26
2013-07-01,0.03
2013-08-01,0.24
2013-09-01,0.35
2013-10-01,0.57
2013-11-01,0.54
2013-12-01,0.92
2014-01-01,0.55
2014-02-01,0.69
2014-03-01,0.92
2014-04-01,0.67
2014-05-01,0.46
2014-06-01,0.4
2014-07-01,0.01
2014-08-01,0.25
2014-09-01,0.57
2014-10-01,0.42
2014-11-01,0.51
2014-12-01,0.78
2015-01-01,1.24
2015-02-01,1.22
2015-03-01,1.32
2015-04-01,0.71
2015-05-01,0.74
2015-06-01,0.79
2015-07-01,0.62
2015-08-01,0.22
2015-09-01,0.54
2015-10-01,0.82
2015-11-01,1.01
2015-12-01,0.96
2016-01-01,1.27
2016-02-01,0.9
2016-03-01,0.43
2016-04-01,0.61
2016-05-01,0.78
2016-06-01,0.35
2016-07-01,0.52
2016-08-01,0.44
2016-09-01,0.08
2016-10-01,0.26
2016-11-01,0.18
2016-12-01,0.3
2017-01-01,0.38
2017-02-01,0.33
2017-03-01,0.25
2017-04-01,0.14
2017-05-01,0.31
2017-06-01,-0.23
2017-07-01,0.24
2017-08-01,0.19
2017-09-01,0.16
2017-10-01,0.42
2017-11-01,0.28
2017-12-01,0.44
2018-01-01,0.29
2018-02-01,0.32
2018-03-01,0.09
2018-04-01,0.22
2018-05-01,0.4
2018-06-01,1.26
2018-07-01,0.33
2018-08-01,-0.09
2018-09-01,0.48
2018-10-01,0.45
2018-11-01,-0.21
2018-12-01,0.15
2019-01-01,0.32
2019-02-01,0.43
2019-03-01,0.75
2019-04-01,0.57
2019-05-01,0.13
2019-06-01,0.01
2019-07-01,0.19
2019-08-01,0.11
2019-09-01,-0.04
2019-10-01,0.1
2019-11-01,0.51
2019-12-01,1.15
2020-01-01,0.21
2020-02-01,0.25
2020-03-01,0.07
2020-04-01,-0.31
2020-05-01,-0.38
2020-06-01,0.26
2020-07-01,0.36
2020-08-01,0.24
2020-09-01,0.64
2020-10-01,0.86
2020-11-01,0.89
2020-12-01,1.35
2021-01-01,0.25
2021-02-01,0.86
2021-03-01,0.93
2021-04-01,0.31
2021-05-01,0.83
2021-06-01,0.53
2021-07-01,0.96
2021-08-01,0.87
2021-09-01,1.16
2021-10-01,1.25
2021-11-01,0.95
2021-12-01,0.73
2022-01-01,0.54
2022-02-01,1.01
2022-03-01,1.62
2022-04-01,1.06
2022-05-01,0.47
2022-06-01,0.67
2022-07-01,-0.68
2022-08-01,-0.36
2022-09-01,-0.29
2022-10-01,0.59
2022-11-01,0.41
2022-12-01,0.62
2023-01-01,0.53
2023-02-01,0.84
2023-03-01,0.71
2023-04-01,0.61
2023-05-01,0.23
2023-06-01,-0.08
2023-07-01,0.12
2023-08-01,0.23
2023-09-01,0.26
2023-10-01,0.24
2023-11-01,0.28
2023-12-01,0.56
2024-01-01,0.42
2024-02-01,0.83
2024-03-01,0.16
2024-04-01,0.38
2024-05-01,0.46
2024-06-01,0.21
2024-07-01,0.38
2024-08-01,-0.02
2024-09-01,0.44
2024-10-01,0.56
2024-11-01,0.39
2024-12-01,0.52
2025-01-01,0.16
2025-02-01,1.31
2025-03-01,0.56
2025-04-01,0.43
